client_id,duration_count,duration_mean,Class
555,1.0,31.6,Slow Passer
647,1.0,8.333333333333334,Fast Passer
934,4.0,999.0,Slow Repeater
1028,1.0,32.875,Slow Passer
1104,1.0,999.0,Slow Passer
1186,1.0,503.1666666666667,Slow Passer
1195,1.0,49.0,Slow Passer
1197,1.0,13.571428571428571,Fast Passer
1336,1.0,42.2,Slow Passer
1346,5.0,7.0,Fast Repeater
1368,1.0,999.0,Slow Passer
1516,3.0,22.575757575757574,Fast Repeater
1643,1.6666666666666667,343.9166666666667,Slow Repeater
1755,1.0,34.3,Slow Passer
1836,1.3333333333333333,19.133333333333333,Fast Repeater
1936,4.0,11.1,Fast Repeater
2439,1.0,999.0,Slow Passer
2581,1.0,999.0,Slow Passer
2720,3.0,999.0,Slow Repeater
3232,1.0,13.5,Fast Passer
3572,1.0,51.0,Slow Passer
3647,1.5,514.5,Slow Repeater
3743,1.0,37.75,Slow Passer
4369,1.0,21.0,Fast Passer
4484,3.0,25.75,Fast Repeater
4603,1.0,31.8,Slow Passer
4717,1.5,27.05,Fast Repeater
4870,1.0,29.75,Fast Passer
5354,1.0,10.5,Fast Passer
5845,1.0,24.125,Fast Passer
6022,2.0,999.0,Slow Repeater
6150,1.0,999.0,Slow Passer
6642,1.0,32.0,Slow Passer
6904,1.0,25.0,Fast Passer
6977,1.0,24.75,Fast Passer
6985,2.0,26.4,Fast Repeater
7020,1.5,17.1,Fast Repeater
7561,1.5,7.625,Fast Repeater
7563,1.0,38.0,Slow Passer
7567,1.0,28.2,Fast Passer
7657,2.0,14.428571428571429,Fast Repeater
7723,1.0,44.5,Slow Passer
7934,2.0,10.0,Fast Repeater
8023,1.0,3.0,Fast Passer
8039,1.0,41.666666666666664,Slow Passer
8055,1.0,39.0,Slow Passer
8101,1.0,46.333333333333336,Slow Passer
8124,1.0,999.0,Slow Passer
8610,2.0,999.0,Slow Repeater
8712,2.0,14.0,Fast Repeater
8820,1.0,27.666666666666668,Fast Passer
9229,3.0,4.125,Fast Repeater
