Variation,visit_id,confirm,start,step_1,step_2,step_3,Complete_Status
Control,100030127_47967100085_936361,0,1,0,0,0,Not completed
Control,100037962_47432393712_705583,0,3,1,0,0,Not completed
Control,100057941_88477660212_944512,0,1,2,2,2,Not completed
Control,10006594_66157970412_679648,1,1,1,1,2,Completed
Control,100071743_53464757454_616703,0,1,0,0,0,Not completed
Control,10007589_47780784567_391490,0,1,0,1,0,Not completed
Control,100096068_8301717872_987164,0,1,1,0,0,Not completed
Control,100105975_18174738494_196339,0,2,0,0,0,Not completed
Control,100195539_90558871716_822894,0,2,2,0,0,Not completed
Control,10024125_38177552152_999695,0,1,1,0,0,Not completed
Control,100254180_47139859079_984581,0,1,1,1,1,Not completed
Control,100309269_21684743336_936307,1,1,1,1,1,Completed
Control,100398738_80691628792_341470,0,1,0,0,0,Not completed
Control,10043239_12589390657_342180,0,1,0,0,0,Not completed
Control,10045388_98429038488_557266,0,3,2,2,0,Not completed
Control,100471971_3065983298_584030,1,2,1,1,1,Completed
Control,100481857_71511233596_788753,0,1,1,1,2,Not completed
Control,100535920_68686957750_105554,0,1,1,1,0,Not completed
Control,100583476_33244068453_144866,0,1,1,1,1,Not completed
Control,100608591_65788886975_921579,1,1,1,1,1,Completed
Control,100647528_93869859601_746654,0,1,0,0,0,Not completed
Control,100665997_91063490926_34691,0,1,1,1,1,Not completed
Control,100696989_79957693336_140112,0,1,1,0,0,Not completed
Control,100733473_61604582110_215085,1,1,1,1,1,Completed
Control,100742196_25888718318_18393,1,1,1,1,1,Completed
Control,100768839_4432812320_405870,0,1,1,1,0,Not completed
Control,100810638_79925673386_145828,0,2,0,0,0,Not completed
Control,100847537_74227021314_737120,0,1,1,0,0,Not completed
Control,100888777_10698693955_921935,0,1,0,0,0,Not completed
Control,100911179_58982643631_833777,1,1,1,1,0,Completed
Control,100917321_50724715049_405133,0,1,0,0,0,Not completed
Control,100982387_94833499276_254813,1,1,1,1,1,Completed
Control,100990512_10313858825_28429,0,2,2,2,0,Not completed
Control,101018131_98163417200_901367,0,3,0,0,0,Not completed
Control,101094131_85383261552_788150,0,1,1,0,0,Not completed
Control,10110963_12018428476_773812,0,1,0,0,0,Not completed
Control,101120116_70489660261_84827,0,1,1,1,0,Not completed
Control,101127163_76213781950_64100,1,1,2,2,0,Completed
Control,101140098_34485335341_198445,0,2,1,0,0,Not completed
